@Onfroy98 @xxxtentacion Same🖤
@xxxtentacion Miss you...😭😭😭😭😭😭😭🌧️🌧️🌧️🌧️🌧️🌧️
@xxxtentacion 🕊️ pic.twitter.com/NPMzzCinNu
@xxxtentacion https://twitter.com/BeatrizBarata19/status/1034916274856439808 …
@xxxtentacion where is it?
@xxxtentacion R.I.P like peep..you'll never be forgotten..always loved your music from back in the manikin days up to the ''?'' album pic.twitter.com/tG6MP8q76l
@xxxtentacion & @RONNYJLISTENUP were a better duo than MJ & Scottie
@xxxtentacion i miss this dude 😔
@xxxtentacion Hurting so hard.
@xxxtentacion @opji5
@xxxtentacion i just miss your music man 😫
@xxxtentacion a genius ahead of his time bad upbringingsbut has that revolutionary pac spirit
@xxxtentacion https://twitter.com/rollingloud/status/1035198715953393670 …
@xxxtentacion xxxtentacions mom please watch this video https://youtu.be/n0GyQtVOypY 
@xxxtentacion I miss you so much bro💔😩! Gone to soon!😰💔 Your music will live on! You will forever live on in my heart! My biggest Person I can relate to! 😩💔 your music helps me😨💔 R.I.P
@xxxtentacion https://www.youtube.com/watch?v=PC345iLbCyo …
@xxxtentacion pic.twitter.com/jcpfdZu2a2
@xxxtentacion  i love you
@xxxtentacion SAD 🎧
"@xxxtentacion While living in Orlando, he hit her with *white plastic clothes hangers. “He broke a good 30 hangers on my legs,” she said.Around 30 Broken *White Hangers pictured @1.16 https://www.youtube.com/watch?v=z1UExiJRkW0 …"
@xxxtentacion hey
"@xxxtentacion really had more to give with music, dawg."
@xxxtentacion Look at what I saw hanging on my daughter's 5th grade classroom wall  🖤💔 A 5th grade boy wrote this- look at who he admires. pic.twitter.com/YHqPR7AyOr
@xxxtentacion I know your not dead boi get up out dat grave
@xxxtentacion inspired me in so many ways and so many others  #SleekFormation
@xxxtentacion ♥️ https://twitter.com/viewsfrance/status/1035103606159171584 …
@xxxtentacion  be missing you...
@PartyGoy @xxxtentacion Braaap
@xxxtentacion So true😪
@Tayabrunick @xxxtentacion Why do you miss xxxtentacion so much
@Nazheerr @xxxtentacion oh man...
@xxxtentacion RIP😭😭😭😭😭😭
@xxxtentacion LMFAO
@xxxtentacion ❤️😪
@xxxtentacion 🙏🏾🌹 pic.twitter.com/TcRSn85Zty
@xxxtentacion We-
@xxxtentacion @xxx #Wordplay pic.twitter.com/NUD5R0HsEO
@xxxtentacion and @NICKIMINAJ stans are the worse things to ever happen on twitter
@xxxtentacion Beware on life 💯❕
@xxxtentacion i miss u king😭😭 pic.twitter.com/mVkjOPtWbd
@xxxtentacion you’re still here idc what anybody say
@xxxtentacion in memories pic.twitter.com/1qhKFEqBpS
@xxxtentacion was with us tonight and @THESLUMPGOD pic.twitter.com/QSK5uduWR8
@xxxtentacion on repeat tonight 🎵
@xxxtentacion legend pic.twitter.com/dSj1WSZ7vl
@xxxtentacion 🙏 pic.twitter.com/5Y7CoF46BU
@xxxtentacion I miss you 💔
"@xxxtentacion - ""?"" Vinyl + Memorial Booklet(limited to 1000) for sale! Hmu or click the link below!Check out my listing @eBay -  https://ebay.us/kAP6Sc  via @eBay#XXXTentacion#QuestionMark#Vinyl#Rare#Limited"
@xxxtentacion miss you vro
@xxxtentacion  LEGEND LongLivePrinceX
@xxxtentacion 😓😭
@xxxtentacion // HOPE 🎶
@xxxtentacion i understand you now bro 🙏 rest in peace
"@xxxtentacion really miss you bro , yo ur words ur passion w all really appreciate it"
@xxxtentacion pic.twitter.com/cWstxQaTX4
@xxxtentacion💔❤💔❤💔❤💔 pic.twitter.com/TGCWRQYl6e
