@britneyspears 🍀🍀🍀
@britneyspears hi baby! i’ll be there. brb
@britneyspears awesome tonight pic.twitter.com/FaLQ5I2JrY
@britneyspears duct Fundy surgery did duff shrug fiftieth gets right did Dufur stage surgery trusty g thrust trust shrieks thirty-eight Rufus ridge Ethridge t treatise thrusting thrusts thrusts stuff during fists thrust riding 4 they're queue disinherit trust DJ g trust TGIF too
@britneyspears loveee you! 40 years old and still my idol! Xx
@britneyspears The dancing is sbsalutly mechanical and terrible and honestly gross for a mother of boys. What are you trying to teach them. Grow up
@britneyspears You are so humble and badass! I can't wait to see you preform in Austin. 💙
@britneyspears Terrible
"@britneyspears ""...baby one more time"" or ""blackout"" pic.twitter.com/S5dWloALsB"
"@britneyspears  Thank you for the joy of your shows,all been wonderful, the six I have been to see you one final time in Blackpool tomorrow night , thanks for seemingly acknowledging me in London and Birmingham , brown hair, red jumper, blue wheelchair #PieceOfMeTour"
"@britneyspears  Thank you  Britney for the Joy  of the past few weeks, I’ve seen your Piece Of Me shows seven times now and Tomorrow Night seeing the final one in Blackpool, all been so wonderful ."
"@britneyspears Omg, I'm only the 8th reply, 37th rt, and 229th like😂"
@britneyspears I guess i having to catch up with you Britney! Looks like you're having a wonderful time.
@britneyspears is coming to Austin !!!!!! OFMGGKDKDFGGGGGGGGG
@britneyspears Maybe a passion hidden deep inside your sub-consciousness...🤔
@britneyspears you were bloody amazing in Birmingham tonight!.💗💋
@britneyspears c’est quoi ça ?! LES AUTRES NE DITES PAS QUE C’EST DU LIVE ! pic.twitter.com/pJtOMzZhJY
@britneyspears 😍😻🤩 So hot! 😛😝😜😍😝😛😜😝😍
@britneyspears reaction to the shirtless guy dancing on her stage tho 😂 #pieceofme #liveinbirmingham pic.twitter.com/4CbLNsfWyv
@britneyspears my anthem queen pic.twitter.com/inw7A3km2H
@britneyspears reaction to a guy dancing shirtless on her stage tho 😂 #PieceOfMe pic.twitter.com/G6Q13pERm8
"@britneyspears Best night of my life! If you saw the crazy girl in the sequin jacket dancing, that was me! 😂🙈 #britneyspears #PieceOfMe pic.twitter.com/LsH6lqnT4A"
@britneyspears was amazing tonight ❤️
@britneyspears AMAZING AS ALWAYS
@britneyspears 💯🥂👌🏻fine pic.twitter.com/FHxElGb27i
@britneyspears in Birmingham was brilliant like in Scarborough. Next goal to see her in Vegas!!!
@britneyspears the last #pieceofme show is less than one day away! Congrats on an epic tour! U worked so hard-enjoy the last show & take a nice relaxing vacation after 💗🎉💗
@britneyspears these show for criminals and human desordens?
@britneyspears I have waited to see you live ever since I was a little girl. Thank you for making my 27th birthday special & cheering me up with my broken ankle. @pitbull you were amazing too! Thanks to the staff at the @GentingArena for getting me comfortable! #britneyspears pic.twitter.com/Uka8mrApII
@britneyspears @GentingArena #wow
@britneyspears what a show ✨ thank you for always being the inspiration that you are 🌟 had the best time tonight #PieceOfMe #PieceOfMeTour @GentingArena 💜 pic.twitter.com/l0MmsieTdp
@britneyspears Your body is insane!
@britneyspears #pieceofmetour #Amazing @ Genting Arena  https://www.instagram.com/p/BnKSfQNBS_RkmT07SvbO5NI8Z7wRl46Bz2gCJ40/?utm_source=ig_twitter_share&igshid=6czwgk0eaxph …
