@ChiliPeppers i love him
@ChiliPeppers Even you Brutus.
@ChiliPeppers go on tour
@ChiliPeppers 🎸 Ethiopia.. hole album is great though.🎸
@flea333 @ChiliPeppers Flea is everlasting ❤️
@flea333 @ChiliPeppers Holy shit
@flea333 @ChiliPeppers Love it and the Flea And RHCP Best American Band hands down ❤️❤️❤️
@ChiliPeppers @flea333 Suburbia 😁
@flea333 @ChiliPeppers @PlanetRockRadio at 'work' gets a full throttle whenever RHCP are on .... LOVE!!!!!! <3
@ChiliPeppers Raindance Maggie 😍😍🥰
@flea333 @ChiliPeppers 🔥🔥🔥🔥
@flea333 @ChiliPeppers And a guy in the middle with a finger .
@flea333 @ChiliPeppers Not so long????
@flea333 @ChiliPeppers Not Chris Hoy the British cyclist surely?
@flea333 @ChiliPeppers Nice to see you have come back to Twitter Flea. I hope you are strong and have brought 50 belly dancers with you...
@flea333 @ChiliPeppers i love you so much
@flea333 Fuckin love @ChiliPeppers !! Been jamming you guys since I was a kid
"@flea333 @ChiliPeppers Love you, guys. 😍"
@flea333 @ChiliPeppers 👏👏👏👏👏👏
@ChiliPeppers Need you to reprint the Scar Tissue/Gong Li 7” !! 😭😭
@ChiliPeppers happiness loves company! brilliant track!
@ChiliPeppers ❤️❤️❤️❤️❤️❤️
@ChiliPeppers @flea333
@ChiliPeppers Brendan’s Death Song for sure
@ChiliPeppers pic.twitter.com/LZckb73Xyo
@ChiliPeppers and @sublime cover bands are playing in Havasu this weekend. This could not have worked out any better!!! So pumped 🤙🏽🤙🏽🤙🏽
@ChiliPeppers Gabriela did a nice job with one of your tunes... https://www.youtube.com/watch?v=AzqkvaJE7cU&frags=pl%2Cwn …
"@ChiliPeppers you’ve made my day!Ayam geprek, i love you :* #nukangforlyfe #diaryofinteriordesigner"
@ChiliPeppers My fave song on it is Brendan’s Death Song
@ChiliPeppers I´m a fan of you
