@AngelaMerkeICDU @MartinSchulz @EmmanuelMacron @JeunesMacron @theresa_may @KRLS @QuimTorraiPla https://twitter.com/_lbrossa_/status/1034878492901617664 …
@AngelaMerkeICDU Warum sind die Deutschen in allen Filmen schlecht?
@AngelaMerkeICDU @CDU @CSU @welt @DerSPIEGEL @BILD @ardNachrichten @faznet @SZ @BBCBreaking @thetimes @guardian @letemps @camanpour @nytimes @TIME @PapaFrancesc @TimmermansEU @eucopresident @JunckerEU @Alfreddezayas https://twitter.com/markiebrown91/status/1034742293377556480 …
@AngelaMerkeICDU @CDU @CSU @welt @DerSPIEGEL @BILD @ardNachrichten @faznet @SZ @BBCBreaking @thetimes @guardian @letemps @camanpour @nytimes @TIME @PapaFrancesc @TimmermansEU @eucopresident @JunckerEU @Alfreddezayas https://twitter.com/elnacionalcaten/status/1035248463649431552 …
@AngelaMerkeICDU das schicksal meines lebens. Und ich bin kein deutscher...?  Was passiert umwille ihre deutschlandhass? #Chemnitz https://twitter.com/JansensAdriaan/status/1035170953335107584 …
@AngelaMerkeICDU are you happy what you have created. You have single handedly destroyed your country and Europe https://twitter.com/dayforfreedom4/status/1034759187081977856 …
@AngelaMerkeICDU leest zeker geen kranten? Maar pleegt door invasie van asielzoekers een grotere genocide op der eigen volk. 😠 Slim hé Hitler probeerde op een andere wijze Europa te  veroveren en haar lukt het zo om Europeanen af te slachten. #Banislam #noislamjustfreedom https://twitter.com/FamWagensveld/status/1035108129128759296 …
@AngelaMerkeICDU https://twitter.com/JoostNiemoller/status/1035107189629825025 …
@AngelaMerkeICDU Dear Germany Chancellor you visited Africa for Business and Help reduce Migration I have project give me #OPURTUNIT (Appointment) you will be Impressed.May God Bless.
@AngelaMerkeICDU @MartinSchulz @EmmanuelMacron @JeunesMacron @theresa_may @KRLS @QuimTorraiPla https://twitter.com/Mhaggari_29/status/1034833874386341889 …
@AngelaMerkeICDU What would your police do if these disguised band patrol at night the streets of Germany with knives and cuters threatening people and cutting ties of solidarity? @sanchezcastejon ask catalan police responsibilities because they wanted to identify them @boye_g 👇 https://twitter.com/mjarilla1/status/1034804859856404481 …
@AngelaMerkeICDU#gegeblasohemiewettbWir bitten um ein Gesprächstermin mit Frau Bundeskanzlerin. http://openpetition.de/!cnvcs  pic.twitter.com/TGSWAgmG8q
@AngelaMerkeICDU @EmmanuelMacron @lauraboldrini @pdnetwork STRONZI TUTTI!!!  https://m.facebook.com/story.php?story_fbid=10212852235884321&id=1341911388 …
@AngelaMerkeICDU Vous êtes dans un Pays où la jeunesse désespérée n'a pas de source de revenue Vous êtes dans un Pays où la force prime sur la raison Bienvenue à #Ounkelande un Pays pillé par un groupe d'ami
"@AngelaMerkeICDU   Meine liebe Frau Bundeskanzlerin, bitte teilen sie mir Verständlich mit; wenn sie endlich zu Handeln gedenken um weiteren Schaden vom Deutschen Volk zukünftig abzuwenden. !  Danke.mfG   Peter M."
@AngelaMerkeICDU #thankyouAngela https://twitter.com/suzydymna/status/1034423594959429634 …
@AngelaMerkeICDU et @theresa_may qui evitent soigneusement le Cameroun dans leurs tournées respectives làL'Afrique centrale est-elle maudite?😂😂😂
@AngelaMerkeICDU @CDU @CSU @welt @DerSPIEGEL @BILD @ardNachrichten @faznet @SZ @BBCBreaking @thetimes @guardian @letemps @camanpour @nytimes @TIME @PapaFrancesc @TimmermansEU @eucopresident @JunckerEU @Alfreddezayas https://twitter.com/denterd/status/1034883091968479232 …
@AngelaMerkeICDU https://twitter.com/presiofficiel/status/1034903264293257217 …
@AngelaMerkeICDU @CDU @cducsubt #Erdoğan ist ein guter Präsident #Erdoğan iyi bir devlet başkanı https://twitter.com/zhl_cskn/status/1034736404633284610 …
@AngelaMerkeICDU https://twitter.com/PVinkenborg/status/1034358949821272066 …
"@AngelaMerkeICDU Hallo Angela, was für ein schönes Bild von uns. Busserl pic.twitter.com/J3kPD4EHZr"
@AngelaMerkeICDU Quake Champions ist jetrzt kostenlos. Habs mir für 30€ gekauft... #DankeMerkel
@AngelaMerkeICDU @CDU @CSU @welt @DerSPIEGEL @BILD @ardNachrichten @faznet @SZ @BBCBreaking @thetimes @guardian @letemps @camanpour @nytimes @TIME @PapaFrancesc @TimmermansEU @eucopresident @JunckerEU @Alfreddezayas https://twitter.com/danhubbard8/status/1034721237895921664 …
@AngelaMerkeICDU @MartinSchulz @EmmanuelMacron @JeunesMacron @theresa_may @KRLS @QuimTorraiPla@JustinTrudeau https://twitter.com/aleixsarri/status/1034858787813900288 …
@AngelaMerkeICDU @MartinSchulz @EmmanuelMacron @JeunesMacron @theresa_may @KRLS @QuimTorraiPla https://twitter.com/naciodigital/status/1034867026739777536 …
@AngelaMerkeICDU @MartinSchulz @EmmanuelMacron @JeunesMacron @theresa_may @KRLS @QuimTorraiPla https://twitter.com/aleixsarri/status/1034858787813900288 …
"@AngelaMerkeICDU Le secret de la saucisse de Strasbourg, c’est qu’il faut la faire cuire. Claquer des œufs dedans et aussi une bonne idée. Avec une baguette à 50 cents d’€. @EmmanuelMacron @canardenchaine"
"@AngelaMerkeICDU . Bestehende Erwerbsunfähigkeitsrentener  haben nix vom Rentenpaket und bleiben ihr Leben lang in Altersarmut, weil ihre Berechnungsgrundlage für die Rente das  60 Lebensjahr ist. Danke für nix  #Rentenpaket"
